Mã,Tên SP,BH (Tháng),Giá bán,Tồn HN,Tồn SG,Ngành hàng,Thương hiệu,Action
CP009935,Bộ vi xử lý INTEL Core I5 14400F Tray,36,3980000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP009942,Bộ vi xử lý INTEL Core I5 ​​14600K Tray,36,6390000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012486,Bộ vi xử lý Intel Core i5 14600KF Tray,36,6130000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000063,Bộ vi xử lý INTEL Core I7 12700 Tray,36,7530000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000065,Bộ vi xử lý INTEL Core I7 12700F Tray,36,6850000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012640,Bộ vi xử lý INTEL Core I7 12700K Tray,36,7050000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000068,Bộ vi xử lý INTEL Core I7 12700KF BOX NK,36,6150000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP006966,Bộ vi xử lý Intel Core I7 12700KF TRAY,36,6080000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP006900,Bộ vi xử lý INTEL Core I7 13700F Tray,36,6490000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012043,Bộ vi xử lý INTEL Core i7 14700 tray,36,11250000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP007692,Bộ vi xử lý Intel Core I7 14700KF Tray NK,36,8300000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012796,Bộ vi xử lý INTEL Core I9 13900 Tray,36,13800000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP013070,Bộ vi xử lý AMD Core Ultra 5 225,36,4350000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP013071,Bộ vi xử lý Intel Core Ultra 5 225F,36,3690000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012780,Bộ vi xử lý INTEL Core Ultra 5 245K Tray,36,5690000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012781,Bộ vi xử lý INTEL Core Ultra 5 245KF Tray,36,5350000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012783,Bộ vi xử lý INTEL Core Ultra 7 265KF Tray,36,7150000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012856,Bộ vi xử lý INTEL Core Ultra 9 285K Tray,36,15100000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
